obsname,nlte_rv,nlte_e_rv,nlte_teff,nlte_logg,nlte_redchi
wd0715-704j_2452033_48822727986,24.713376890588172,21.392917552735987,34517.72663722519,8.999999999928875,1.2280174080488064
wd1202-232_2451681_63075490994,19.046487913379522,0.5152817028019321,8499.993353979264,8.023785818845539,1.8358858011074843
wd0605-483j_2451924_66567926016,13.685286494542868,10.055815450147815,28476.456233400986,8.999998512161914,1.9504244171686653
wd0302+027_2451743_86882629013,33.31179151133343,9.723569492304131,31889.229650444875,8.720192428768014,1.5480533599878203
he1522-0410_2451755_59830929991,14.250006605659442,3.6359298909401234,13884.341743108902,8.636357029245572,3.6565993407443322
mct0105-1634_2451742_8468039101,-6.2807120001450985,0.14711737546619696,10235.170738246976,8.383484696382551,150.8121841938153
wd1547+015_2452116_51296659,1307.2214242519065,,39899.998251279954,8.999999998820073,1.5870192341432194
mct0031-3107_2452114_90890453011,50.27523405348264,28.800961850834476,39899.998940997015,8.99999954345843,1.9183052276088037
wd0320-539_2451759_91959910002,76.72597143726841,18.754791198891056,21411.145261533668,8.999999973234644,1.8949575522425592
hs0503+0154_2452327_52221844997,631.1544128315422,85.0050958075779,39899.997009816994,8.999999999125183,2.040254168248968
wd0110-139_2451741_79438909981,29.819739905745443,4.782698194575788,15040.390621954506,8.769875306450533,2.294572513486305
wd1056-384_2452069_5251466902,31.76669248867444,2.9033135699923935,17995.63112454021,8.999999997261678,2.001689672309621
wd1655+215_2452541_49023415986,36.24145987498867,1.4358969198953098,12980.914353977581,8.515460140099384,3.2502398025654573
he0130m2721_b_2452544_81436847011,28.98578325678324,4.23468545418357,14287.583356644167,8.271819279896894,2.529707191493245
wd1249+160_2452326_88235398987,10.658505406902586,3.101852528238002,14333.7774115202,8.364485774216917,1.9757404345393026
hs0933+0028_2452656_65974196,12.370271553165045,22.770944744863662,24497.8995885342,8.99999999749448,1.356918595359403
he2345-4810_2452466_8941040202,8.669148183958658,4.615649287768841,14999.989550535644,8.775809741516378,2.1357268067893673
he1518-0344_2451731_6374504799,20.04577188818519,5.36743028948663,19999.956857673496,8.70484435867318,3.085851492833219
he0204m4213_b_2452537_70662258985,15.747351594085227,5.710943941117255,14807.255080032506,8.777821003502645,1.9226242611502626
wd2350-083_2452466_91436323011,52.25467218183563,4.818627688906947,13185.500635762324,7.499962005120003,2.6679548073516046
wd2134+218_2452527_60438545002,24.84907292791064,5.914595823999578,13257.686495460275,7.499961277354975,0.6437404466482278
wd0127-050_2452544_79844815005,1.497650500244091,2.6636239764175245,13809.999397883026,7.499961254322842,2.3324485455477566
wd0011+000_2451739_80167480977,19.557245338419957,1.7594994974502,12937.063053594216,8.459602636839577,3.0528611894271527
wd0431+126_2452659_68631085986,65.94151036070036,2.7674597697579486,14211.81954812911,8.253484798990547,2.3018613585721828
hs1136+1359_2452393_68335676985,-16.505978484415625,10.920193550908957,12492.899499404315,7.0000026657314685,6.425005479239601
wd1334-678_2451755_5330007202,47.24531413449565,2.0069384057826483,12188.126290524135,8.458661693359367,2.8040929175396814
wd2152-045_2452172_53217970021,-452.7630127094755,1.2660598658852678,6000.000656695559,7.0194967080212285,88.75774629700574
wd1015-216_2451681_49386395002,14.132245028171159,9.803970516509596,16999.99375717109,8.999995411414478,2.184409745170561
wd2205-139_2452541_60556008993,43.40649606454686,2.620366505748809,18668.54328993633,8.876240614508081,2.452596647474654
wd1216+036_2452069_55199783994,32.08085713887045,4.306436771177445,13267.6403027325,7.499950370155701,2.9431193461217746
wd1124-018_2452330_78016158007,70.47582988216149,5.19484970377475,14651.39225085554,8.753296994760898,2.3993374253601947
wd2122-467_2452423_8101614099,22.58500036501226,6.048740501143321,13791.962141106816,7.499961987747829,3.097607171019485
wd1149+057_2451944_76796919992,31.282024941530754,0.005382812010335414,8499.974284342052,8.340257767205076,239863.58517048942
hs1705+2228_2452521_51471672999,-225.9330962904825,65.70971530608638,16499.999912410687,8.995240879893686,0.39843325299338234
wd0902-041j_2452261_82428323012,4.5073103075510055,2.611003229748243,14610.6227369736,8.664806098469615,1.651630550128558
he2356-4513_2452163_6230390002,41.636266148971266,4.021713562893282,13647.438661269382,7.499960668831621,2.0621978799792093
he2251-6218_2452154_50874757022,5.091966032929615,4.947328179928159,13453.64637089972,7.499960939597825,2.78005483000359
hs0400+1451_2452337_54051066004,69.95890085604573,3.2703546218660975,13936.095437567355,8.064050414905577,2.94978875444913
wd0102-185_2452675_53126922995,38.12758942188441,10.97657420173267,14248.362953068643,8.315851057032184,1.2915468023799583
he0423-2822_2452540_77527377009,83.81106205840383,6.20684595563646,12286.988519953855,7.0000000000617115,4.695593182800247
wd2207+142_2451696_83410362992,23.362634479869172,2.88743010954596,10069.209360948731,8.469614968626539,2.4663998767730098
wd2058+181_2452538_61966144014,-42.50625108741709,3.612871589252844,13999.987133084705,7.017827945255153,2.733044522588967
wd2322-181_2451738_76152428007,18.35364396324833,2.8351294424643845,14284.109620796966,8.27044020937182,3.0359582001812937
wd0308+188_2452656_56876969989,29.383609811614136,2.719880504207403,14997.742791841487,7.128856519917612,1.9945049113900222
hs1144+1517_2452330_83189010015,17.797861662245793,4.214031532150266,11140.835036535744,7.000000003464925,5.579337283184099
wd0310-688_2452611_72338462994,53.79655330032215,1.0248460851162768,13809.264953021102,7.4999666571465555,3.299753875853881
he0300m2313_b_2451885_65462996997,-287.81040664557133,12.457711607098787,16999.96848049079,8.386283335370912,13.387539815602523
wd0352+096_2452538_7246450102,87.87124984863819,2.5941360711548143,12000.000000000002,8.0,15.378577697619837
hs0820+2503_2452663_64634619979,34.740612030567405,8.164429475731733,23067.151562501575,8.999999999824565,2.692321358179454
wd1053-550_2452044_51426183013,13.477024010821454,2.0174447895859293,13000.000481112329,7.4477987207960785,3.472150201378674
wd1257+047_2451684_61657434003,38.55407983898074,3.09120029709743,14500.259092231734,8.546390231666852,2.5971530029653422
hs2059+0208_2452521_64214278013,-45.19387350767281,5.185126317708924,13000.006238314802,7.295591673014709,104.52936253834652
wd2021-128_2452033_92958417023,38.88625136277593,5.242214570060614,13849.017208367972,7.88966778608906,2.7270743743717984
wd0443-037j_2452657_71103848005,-702.752269578387,97.7149998746217,39899.99969419276,8.944150947107907,1.9769148666135745
wd2204+071_2451704_91867621988,36.11090217580932,3.9903745380870355,14866.099391515161,8.987436624100024,1.8645611683486707
wd1733-544_2451731_66605215007,25.295403792536945,1.7306369542673998,12692.232602060101,8.999999999992147,1.7635986525199387
he1124+0144_2451727_47840446979,54.07522414737276,14.73361890666376,13296.729685452503,7.49996152744892,0.3003604680932082
wd0549+158_2452542_87944466015,28.61228095355894,3.5780309051485997,28536.843466910886,8.795215670237019,1.3855575976385928
