obsname,nlte_rv,nlte_e_rv,nlte_teff,nlte_logg,nlte_redchi
hs1430+1339_2452143_50975617999,-6.402489281441932,5.812170294595511,15000.000313419485,7.006563643367348,6.044885009079791
wd2156-546j_2451739_68515222985,-23.08575030189932,11.87115766488341,39899.99917801709,8.999999986347174,2.4383105391224023
wd0956+045_2451924_70509159006,71.55245899746272,16.28947267294224,12500.008085975878,7.0000001255229325,0.4662276147186218
he1340-0530_2451743_55297375983,14.014984556629521,17.99204073953621,16999.96245493307,8.985409206586896,2.5283995346056773
wd1755+194_2452720_89040018013,47.1785115492514,4.559734721981467,12797.08249893497,7.499961405720908,5.048543277080612
wd1155-243_2451740_49300708994,44.17725198481698,4.093028750898007,11349.872900222399,7.000000022024866,5.284070393675077
wd1507+220_2452771_59169963002,-16.143765201246826,3.2059995891193047,12999.999692473817,8.494254884573913,12.757713837129275
he0103m3253_b_2452542_79175692005,36.071537462452035,2.7664611884103856,10450.307978838271,7.000000000494146,4.080944595445239
wd1327-083_2452684_79086379986,39.11791425931914,1.0405093121159048,12999.983573626298,7.004967764699256,6.413478991950875
wd2004-605_2451738_72921265988,0.5661519573642462,8.352811109171556,39899.985481879085,8.999999999679105,3.2673818424217242
he0049m0940_a_2452543_86078453995,25.22688582696458,2.593533084235494,11462.625789119178,7.00000000082397,3.8658695395333
wd1003-023_2451946_66651646979,34.73977654086812,5.019956624624497,14463.661466355878,7.542792848041167,2.1505001438056373
hs2132+0941_2452141_56242509,-7.286871178514353,2.82519393262643,11235.048431387568,7.000000000000409,2.888863536338484
wd1236-495_2452068_58568823012,65.82000094405986,1.880089690232463,12000.000000000002,8.0,12.682909497674485
wd0127-050_2452544_79844815005,1.665509561746427,2.958975691197112,12999.999780001204,7.088428011851115,2.457591551570543
wd1330+036_2451687_55315863993,22.21506510346532,3.3080159874614044,12818.711307504289,7.276514749082687,4.072836637848208
wd1102-183_2451657_64098158991,60.463210941453355,1.6858481274243324,8650.423321446262,8.000003781641203,1.5821599749708681
hs0820+2503_2452663_64634619979,34.14546427551622,7.832312663137008,21213.81031586353,8.999999998465801,4.237241873918782
wd2240-045_2451701_84868961992,-59.99270266959765,8.333554514003627,34908.15551788171,8.999999992277097,2.0884674043614924
wd0511+079_2451802_82766648009,18.745949285440677,3.71968903766066,11341.570702406658,8.024310005617917,1.1642877376959113
wd0330-009_2452538_68863344984,-16.66325023080581,12.061702299371255,17000.196790347094,8.999999849528344,2.0994547340342127
wd1058-129_2451920_87073851982,57.419164214429124,5.124715574722469,20629.85818484639,8.999999999765958,2.5754816841636137
wd0310-688_2452616_78936932003,60.88961372306006,0.9096762816759707,12999.999169339928,7.082969712002567,1.7699178324690132
he0403-4129_2451742_91929863999,6.5597690137780855,0.007465869186908947,9499.91361115177,7.781475053096807,3840643.341322483
he0418-5326_2451761_89148883987,-1.3614789333236426,6.433222853491861,14328.90300869288,7.999986644614621,4.874690639609289
wd0205-136j_2451742_87689302024,1191.5361922932675,,16999.991807726656,8.996358171730524,2.988051581680227
hs0047+1903_2452536_69332935987,14.212349581730278,13.26853165952114,12948.800995567699,7.4999619938035,3.92295141930574
wd0406+169_2452674_6012407802,91.29522894322983,3.587206984818586,12733.461725096093,7.1416088115591565,2.942518918359852
he0426-1011_2452338_54891266022,69.23702025957466,2.7852084262111916,12605.951833204059,7.161728785467449,2.5412274285474474
wd1914+094_2452033_85984183988,18.193650364429974,4.693063696144164,12000.000000000002,8.0,7.349258879517148
wd2136+229_2452465_81465602014,-45.070089155332184,2.302415914373306,12215.323800017539,7.603530645056928,2.576514658002782
wd1152-287_2451740_4594460302,79.44802511320422,4.711382827750988,12689.741477486532,7.499960280740529,3.3732422571167224
wd1857+119_2451681_72004551999,-37.053839904962274,7.13953658837803,13500.051582325403,7.000000000065017,3.447801881854008
he0358-5127_2451743_88163066003,81.38139644844118,6.924017912677009,15375.20215826155,7.999973664996794,27.2751654322879
wd1953-715_2452388_77893002005,29.661970107776526,4.3494294005799645,13480.660054955086,7.518299964483187,2.273150845803957
wd2051+095_2451705_88149541989,16.863771866730435,4.0294766139584715,12410.582715111439,7.000261394354682,5.29549244381926
wd1524-749_2451739_63728243019,209.91123966873306,3.7434707592340146,12000.000000000002,8.0,12.058636964644148
hs1641+1124_2452117_53624647018,44.33204494517161,4.691782429930871,12655.249387182286,7.188718176290255,3.6561085640872073
hs2046+0044_2452521_6322171702,-8.894609385123987,7.301922190821256,17000.120927077285,8.844860640269506,4.167777773954792
wd1308-301_2451687_63803596003,67.13660458492403,2.1877023259295,12484.478619817854,7.000000000731704,1.7651124457380734
wd1411+135_2452140_51228938019,45.22596229269367,6.156433855519044,12348.550572406715,7.000044657435899,6.053040675085678
he0330m4736_b_2451891_7904354902,42.943107203814066,4.2389552642992,11195.294572959485,7.0000000000050955,2.948133991540078
hs1003+0726_2452418_58078993019,51.34697444688462,1.84888413054815,8488.884763077327,8.99999999996884,4.236210723557414
wd2120+054_2452540_56279940996,-6.577627172048672,14.352292119616962,39899.99991962618,7.848568537146468,2.637628888632882
he0204m3821_a_2452465_87999136979,1060.0022201228937,5151.12592554923,4190.699942143858,8.499901116215856,0.14386434332899176
wd0310-688_2452611_72772188997,60.29019650354771,1.4586967307033127,13116.777121084255,7.0000000000270965,0.6917299860204605
wd2146-433_2452069_91793117998,1700.6630696058899,124.59243541707804,17000.000802297902,8.999999996961199,3.443812427233638
wd2204+071_2451704_91867621988,43.109326509540935,4.113500094128316,12127.45861780948,7.000000000274101,2.52293986564129
he2246-0658_2452172_70602711011,-208.29890324959229,0.0078019615431230704,8500.039108891026,8.679198262973891,149.70390512739442
wd0302+027_2451743_86882629013,33.918034069632775,9.672297753824981,29984.66290942561,8.999999851890355,1.88795177479896
he0320m1917_a_2451946_64476200985,84.46479944459506,32.39173932720669,6871.9089581239805,7.000000000040929,0.006817863748483957
wd2312-356_2452165_52264577989,12.969217198515784,3.7525684482145962,14941.961467455574,7.000000000015399,3.4942498345518826
wd2059+190_2452539_53628916992,7.422803728061288,3.4129715362059487,11263.227654233258,8.740458596335273,1.4421768403373907
he0210m2012_a_2452174_87997516012,33.91080044851474,3.653714906363195,13030.557949673672,7.000000040177621,4.496946672976293
wd2329-332_2451743_81536460994,28.120030514969436,6.831228841433768,12000.000000000002,8.0,3.1193077252890222
wd2226-449_2452146_66394530982,52.427722416219915,1.5147243916832025,12500.0001166634,7.006398780686503,3.819042284394967
hs2130+1215_2452540_58239366999,24.66890123552988,11.112595477623715,17000.00016690933,8.992122067518586,3.095552876019532
wd1911+135_2451682_90445753001,-2.0176041625455348,3.337853516949286,13000.004707844837,7.130777044391355,8.021975893835204
he1225+0038_2451730_47756223986,11.236089803805323,1.5131757451372687,12173.296719202897,8.266747518603026,3.1884213642413775
he0221m2642_b_2451949_56665024022,56.26024671419738,11.718868168193112,17499.284550873617,8.999999892900503,2.2807135836809804
wd0310-688_2452611_72338462994,60.36787970015181,1.1289229847730056,13155.93709761795,7.000000000090841,1.8260059191935072
wd1105-048_2452656_76255166018,47.132240018942994,1.5894633454412528,12748.478099526053,7.000000000053988,1.6530598881423884
he2133-1332_2452172_56031842995,9.410081377042095,2.3998897315953975,12499.993893839022,7.998466573704185,2.4341807944063993
wd1056-384_2452044_52273399988,37.32591756491591,2.925869149261107,15397.868162022829,8.999999999830543,2.187404158193236
wd0511+079_2452154_8981610802,19.96953439617037,4.534928102034937,11466.815259090408,7.9999999372391475,1.3359905405926789
he1413+0021_2451738_62288230984,35.70334796339169,5.336281938450698,12499.992230385538,7.03354214757495,3.420840538967921
hs1646+1059_2452137_59070669021,13.129899370242072,4.931525238368811,12802.043109680877,7.4999617276554895,2.9171338000490197
hs2244+0305_2452541_73172194976,5.132694607795144,40.690865548602126,39899.99889671107,8.999999915873577,1.6044124825360009
wd2235+082_2452153_56869036006,19.74189267621314,10.00526424926634,29700.710420046144,8.999999988939042,1.5195483245060915
he1429-0343_2451742_57777184015,49.3756444285823,6.027688409314301,13096.338826994643,7.784236044688603,2.540744362196207
wd0143+216_2452536_75360593013,18.376894913090172,3.9063674107203585,12079.922120621168,8.329107153862928,2.4911385635976533
wd1507-105_2451701_71157803014,-13.955819636896013,2.327413693751894,12729.689894095454,7.80159303208473,3.6497959573642005
hs2229+2335_2452543_64789664,-8.919236293271604,3.6463926506788273,12499.969186323473,7.052056639224946,3.3494192683715007
