obsname,nlte_rv,nlte_e_rv,nlte_teff,nlte_logg,nlte_redchi
wd2122-467_2452482_73549841018,16.42409648815964,5.189675137673546,12568.446948384295,7.000000054358879,3.7573794996214565
wd0143+216_2452847_91267231992,20.614514466510407,3.743698403232239,13031.484568478032,7.714669288519065,2.859061797683063
wd1802+213_2452465_71159499977,50.80234504629093,7.904770081578423,12252.205515839816,7.000000000087629,3.0138556701071773
wd0330-009_2452655_59343631007,-16.258252709546515,14.599857025097982,38683.86799361519,7.397017602882697,2.2297711060820373
hs1614+1136_2452443_59265214996,15.478170387047149,4.321219154197476,12499.999886398935,7.00360757270313,5.614589455354991
wd0621-376_2452006_55069313012,22.84251437714067,7.568606022380001,30000.000126225394,8.999981807237074,8.02259437552966
wd1102-183_2451683_51010604016,47.98743999396135,2.1152080661473462,8161.763806841647,7.000000000184608,1.7180386247330142
wd0902-041j_2452256_84850117983,6.897855554377402,1.724146762884387,14032.862629833602,8.215671525409096,1.6514675973399626
wd2333-049_2451762_70340614021,26.053468668261637,5.056492800360912,12000.000000000002,8.0,6.194165337230631
wd2306+124_2451802_58816582989,31.049254493297347,3.918850097640254,11454.475165687845,7.00000000420039,4.447957401829782
wd1019+129_2451924_83257659012,60.790062799775704,5.183791004701053,12409.940011906412,7.000000037072593,3.250314144128441
wd1013-010_2452684_69814909995,143.24845848124218,3.061208696758257,12000.000000000002,8.0,34.36668811394146
wd1144-246_2451656_71205816977,-10.100090522182365,5.5405189462225115,20000.00468731595,7.68919393527321,2.537556956386752
wd1636+057_2451705_74676547013,61.12702559374669,3.179083161513457,8661.49120435782,7.999999687639251,1.9826037178086227
wd0048+202_2452610_5897788601,27.182299350127963,3.4876219451265698,14204.040431883275,7.000000006741725,2.973970677158537
he0152m5009_a_2452532_87509837979,39.64036664426433,4.164993233306419,12500.000682503816,7.000827158454194,5.242396699566665
hs1043+0258_2452684_72651915019,19.52285629374448,4.095198935921181,11012.505304025923,7.000000012639621,5.458897299025956
wd0922+183_2452329_67231134977,29.730133082175275,11.985747882303151,14531.652269834125,8.347209968723767,2.5723135402133317
hs0200+2449_2452656_54580688989,46.789873893005776,7.039219458573715,13708.330180130775,7.7888326792745355,2.04201238399949
he0418-5326_2451743_92084437981,10.558809782317716,10.494342065959437,12658.048928335545,7.499960206940837,3.9518426603797954
wd2312-356_2452163_66659044987,7.495927423601096,5.181965820621525,12915.363773630057,7.320063522949371,3.564329596381116
he1511-0448_2451696_75409541978,684.3609193545722,,12169.011068724882,7.000000000004287,3.788437578805034
wd1159-098_2451728_50070931995,43.73655849606596,4.290932202130797,12000.000000000002,8.0,8.128046566131186
wd1058-129_2452387_70587613992,42.62476060381549,7.619366956885749,12000.000000000002,8.0,5.306625452206374
wd1310-305_2452378_70537095983,27.347016251857035,3.001375437594902,12822.498120956865,7.263628042100156,2.1340826577565446
wd1543-366_2451739_6540035801,1326.1351472681517,,39899.82097478901,8.999999998392397,2.12744563193967
wd0231-054_2451737_87294331007,129.05867288156847,4.117530222666112,12000.000000000002,8.0,19.691899312519674
wd1826-045_2452387_88358567003,-0.11014336079203693,2.9389254443462702,10500.00002450252,7.000257859620283,3.604261771194093
wd1948-389_2452065_85439427989,-11.697643451981245,14.322905663181524,33259.96302417531,8.999999997163052,1.694718999288099
wd2303+017_2452862_71435815003,23.209957763191767,29.26240362048616,32950.29604271146,8.999999999960007,2.332546723876866
wd2014-575_2451738_73556907009,67.72198607533329,3.375289070642289,12000.000000000002,8.0,16.045749241475225
