obsname,nlte_rv,nlte_e_rv,nlte_teff,nlte_logg,nlte_redchi
wd2330-212_2452544_6833096901,-69.59200210096806,8.252964961009454,14825.477678447229,8.999999981430246,1.1865955697857071
wd1952-584_2452140_56842911011,38.30646721543558,15.209436164000605,17446.191045392443,8.999999998598067,1.4829310783424616
wd0518-105_2451891_7443904602,133.23919697648174,28.784179350694096,34791.58072906449,8.833450096928265,1.3057359229117744
wd1548+149_2451979_76620048005,-20.24537370821504,4.442282711342586,11034.873388696238,7.000302692188176,11.394198865288507
wd0659-063_2451884_85015252,18.482797570591313,2.3610090777233896,12391.61523193189,8.409603450120644,1.2954160692316936
mct2345-3940_2451802_60858258978,7.066504956979752,7.303734464327143,14340.055296158827,8.591490427251545,2.675696707373681
wd0642-285_2451801_88279817021,6.0277879063289195,21.01013439377612,11552.279620774294,7.000000006146065,0.4213633637803811
wd1116+026_2452663_83276775992,43.678917320126274,4.613509058145564,20835.201800768908,7.273183236101777,1.9885320979620307
wd1550+183_2452387_86335230991,18.460257642922635,12.37545945404272,15000.096400489922,8.999998320211537,3.7440110885872078
mct0033-3440_2452501_91262935987,53.09465814165323,6.629553435419442,16499.962995164005,7.327483144273659,1.9879714165406541
wd0226-329_2452616_76264315005,19.355178078020213,2.642622575472064,14403.96217714777,8.412120840664599,1.850974101761795
wd2312-356_2452531_57684959006,10.991916236504805,3.3416197292483942,15000.001189036504,7.170220559315366,1.855227530833082
wd2333-165_2451762_68616368016,63.283223613779086,1.9647114055760113,14422.724612200289,7.093320740341106,2.8137863871590922
he2315-0511_2451736_69902173011,33.57176884173104,28.79622129723332,27902.357606727594,8.999999847099554,1.128144511075642
wd2226+061_2451701_83184746001,32.60891951046825,4.824950551048918,16499.996118946,7.286434013508656,1.8121047023490342
he1247-1130_2452393_71395380003,32.329040780693504,11.0965085787527,15582.82475138481,8.999999999091704,2.158500919820968
wd0956+020_2451660_65826001018,50.72527549516995,4.983667923605179,14722.561369649628,8.000000540484294,2.615060326874963
wd2152-045_2452813_89842170011,9.502923670547831,5.548324470640644,14210.68958687869,8.242581508497212,1.6041216834305623
