obsname,nlte_rv,nlte_e_rv,nlte_teff,nlte_logg,nlte_redchi
wd0148-255j_2452544_84020892018,32.3433941112432,3.6449712970187136,15419.025565566113,8.674260533284388,1.0452885732696406
wd1210+140_2452658_75221061008,-75.22826889997701,7.229348673786809,17786.66976561061,8.999999890418788,1.1410900450502053
hs0307+0746_2452538_82140224986,15.820205212363835,3.9291842142672806,13699.478107737368,8.999997002016968,2.7761200194083204
wd2349-283_2451802_65476645995,31.12174100657563,3.7379116516751,14762.625607679505,7.768102326846225,2.376173614604921
hs2056+0721_2452140_6006800998,30.916695328264144,4.5769071743078005,16616.708690192765,8.999999998345121,1.2930384509292145
ec12489m2750_b_2451741_49392732,3.5365607161889256,13.675612123358057,33889.639130094205,8.63306861485598,0.9813931354005856
he1225+0038_2451681_65567232016,-1.2962491925169473,3.6240807641073696,11826.504827756158,7.682895551427455,2.7191245662573933
wd1010+043_2452329_71887311991,68.86142173648801,10.121718904759845,18316.895229372145,8.999999959454032,1.7249131481681357
wd2152-045_2452813_89842170011,12.111579675173154,4.504781642993088,14232.300378757574,8.262544247167085,1.3523638104155837
wd1201-001_2451739_49684826983,50.47080717819488,3.205127067944286,22152.27323815305,8.327640688832126,1.9286532289992595
he0426-0455_2451889_63988948986,20.87894229002335,3.911615383729872,13774.118507379657,7.663398997211196,2.4222713318950824
wd2314+064_2452543_73367507011,14.597009661598973,4.534498868252267,15147.679387942606,7.999999392675519,1.8155890590249997
wd1010+043_2452328_68820264982,63.55537748937311,9.431727361309349,24999.983738819523,8.872079102270426,1.2335323172260975
he2159-1649_2451885_51961070998,19.45849566220371,5.101241609442421,14346.948879176995,8.30547864149577,2.4673772843707127
wd1527+090_2452112_53164181998,15.635892578868482,3.364385999195277,14481.987750906737,8.499961447678348,1.8858605497969063
wd1249+160_2452326_88235398987,3.1237907650757752,3.747251748715214,21526.78507737468,7.640212816174731,1.4285917303150353
hs1043+0258_2452663_81334961019,1.5977494903225589,6.009369272144882,13694.954039414075,7.654932043560864,2.8274753062335676
wd0124-257_2451741_82539629983,2.6353724947779096,7.5748776460929115,16499.97051574314,8.34183190842775,2.3329386800732066
hs0315+0858_2452538_84955014009,37.30510371313887,4.248192855724813,14303.093562690627,8.091836166037782,2.0885575611892953
he0043m0318_b_2452655_57245669002,42.46533711879826,3.6081887383150146,14077.612854749657,8.499995792064096,4.1235763448382174
he0049m0940_a_2452543_86078453995,29.288444883496975,3.1787941136701487,13885.69522337102,7.715653272602049,2.278744547434294
hs1003+0726_2452656_70488766022,44.30135972160249,3.731552299623395,11929.859367642515,8.000000067397682,1.9362821015202514
wd1130-125_2451681_68301074021,45.47156326468469,8.021577725734677,13999.984107724571,7.2500105295390895,4.158054628628326
