obsname,nlte_rv,nlte_e_rv,nlte_teff,nlte_logg,nlte_redchi
he0455-5315_2452331_62131131999,-89.67022121379894,12.362865927213875,8684.899306695947,8.768615011664858,3.5443115994728234
wd2120+054_2452540_56279940996,-6.583251134684954,17.757744568802213,39899.99809902673,7.262110227921681,1.2352968864294651
wd0205-136j_2451742_87689302024,-719.4909898415902,31.994873987029564,12999.985969273122,8.999999999969157,2.4306421115225305
wd0648-253j_2452007_56230049022,67.11113528551161,4.8118822472264995,23161.718227326295,8.285097016238698,1.6889090091210974
wd0902-041j_2452256_84850117983,15.080254991111543,2.5890415584243387,24270.33203272994,7.914528768855147,1.550367983136917
wd2333-165_2451804_68523886986,71.24710200597372,2.2127118283986604,19801.62051389743,7.0000000003481,2.0382994543535244
hs0503+0154_2452258_82586898981,161.11347167202766,81.31778076532946,6543.963470213885,8.999999866084243,1.01163806453044
wd0250-026_2452536_85976372007,62.56445773728107,5.407500677175456,11499.954867515668,8.759668675279372,2.5087603634943227
wd1149+057_2451946_68394873012,5.702825420173809,4.3494623051097925,12428.534958084316,7.4999620803569,4.7932905678760624
hs1430+1339_2452140_53471291019,20.80461915875692,3.6701588657801114,11730.240301230915,7.867955918647361,10.216237029489864
wd1537-152_2451727_61930795992,12.09738630174378,6.71342325314953,9999.984247440721,8.955590346769423,3.4562360573491584
he0308m2305_b_2451947_57224287977,107.03412077595505,10.380063398102997,25000.151450086712,8.501969743973126,1.8048106681742833
wd2349-283_2451762_7270265501,31.989210106934035,4.663373819209784,14221.031718122564,8.450674765246337,2.0772724398863676
wd1124-018_2452328_8324847701,27.265564126516022,7.496415348373674,11499.983222628784,8.999859280372835,1.852498738888797
hs0345+1324_2452539_81567174988,42.87140291336463,18.215161980159007,17359.69727223886,8.9251056408241,1.7596569033474185
he0204m4213_b_2452537_70662258985,26.45741508303625,12.410978748278655,20000.025710078036,8.145009096560763,2.2813652421106645
mct0111-3806_2452146_8814581898,476.34515768379555,150.71413202109926,39251.692080445304,8.99989106527013,1.214429222707423
wd0204-233_2451742_86615659017,84.08852026062637,23.137309715169316,14976.23095127014,7.597805537332542,1.3656558131114551
wd0344+073_2452539_79543787008,3.4026723146880284,5.812318722543749,11743.617563865606,7.982474603886022,6.96365388519254
he0320m1917_a_2451946_64476200985,-212.5043509855219,3.7355283818807266,8003.716176188624,7.000245170676008,1.0159401017634293
wd0018-339_2452532_59347552015,42.051451029313704,4.603587198936452,21275.369641262812,7.752205609911059,1.2351117187103964
wd0630-050_2451888_83236997994,209.3101152574001,130.4435092170418,39015.07149373787,8.512190797935105,0.6483189603640376
he1335-0332_2451740_54836414009,104.48179951717854,15.549462926178755,14499.998399079983,8.994545982691898,4.042103816469303
wd0048+202_2452610_5897788601,42.60682736008871,5.175520424814724,9709.421187610871,8.991080924542091,1.5257853772701675
wd2240-045_2451696_89338514023,2011.9011155427672,64.2892118197525,12999.986815738997,8.999999999990212,2.553572260603511
hs1646+1059_2452117_57674909011,96.29975031054403,7.469824772506968,16499.975117569265,7.671187609992408,13.977107349562734
hs2046+0044_2452538_50225022016,-5.145972177561495,12.566225411125338,25345.09405040932,8.19874928314609,1.9152758955212978
wd0029-181_2452544_75962474011,49.1183503875876,25.581523220683568,11406.239217690123,8.400273224974057,0.17612828120982368
wd1834-781_2451738_7116510598,124.98565239536933,5.182421656411371,14249.72310784604,8.499962413379997,3.1675615508191983
wd2326+049_2451804_66829479998,39.05950312077907,1.6343472115326954,12797.403928649828,7.865041507706575,2.181116192056661
he0418-5326_2451761_89148883987,37.75032034543021,12.681355912995807,20551.405713084834,8.306116263541549,1.839964698436704
he0333m2201_a_2451889_6593756699,24.821416834048392,12.587980575513509,13500.179148727058,8.775836994469772,1.6427900092642258
wd0723-277j_2452033_47570907976,56.397785113762914,22.039798988016663,27013.397449698605,8.722360279760313,0.9721780481943598
hs1102+0032_2452657_73024311988,37.695843073486415,6.4401450287745785,18834.128662489093,7.530784813904541,4.892707791600859
wd0951-155_2451660_64234548993,10.352231496616866,6.531653204793902,20936.385077572217,7.637831900981767,2.4993677366425393
wd1840+042_2452387_8896379699,-3.484300707137147,2.3166806524221264,11000.002337540496,8.148575921463266,2.10037284187398
wd1327-083_2452658_77463288,27.897422850674857,1.9490355903257228,19289.82096478119,7.385105667677275,1.9873612890674737
hs0412+0632_2452657_67987324996,37.71182460470203,4.288132561304433,12500.004275856803,8.360649435410833,8.558020510414119
wd0336+040_2452539_77631670004,43.700591334869415,5.208410924675551,11000.008492558838,8.000780432552443,5.0642533118259285
hs0002+1635_2452889_69983795984,22.208539443963474,6.209944693778309,26368.009949611063,7.750520334320754,1.8614029395724607
hs1432+1441_2452137_50108928978,67.16259477619427,5.538940558618446,10499.971188104282,8.9373635780444,5.8443398973551535
wd2253-081_2451737_74492909014,-26.726564771392535,7.720955605687669,6824.904990082059,8.165345464484467,4.3589153333804145
wd1229-012_2451686_55282730004,11.250864307870478,4.093509184466939,14163.846439252777,8.398787245992445,1.416915851655959
wd1201-001_2451742_50651415996,38.38812012718521,8.163662780391073,18455.315328587552,8.432206657422723,4.647276704558723
hs0344+0944_2452674_57308482006,152.25937814695183,1.4283310409875156,12739.140887433876,8.499959950609748,7.307377984992547
wd1125-025_2452658_69764165021,57.37780727241807,24.754603005403325,30223.136440258746,8.388035099790027,1.5554077077875557
wd2014-575_2451743_71886755992,120.39560078486844,10.060687800388656,12999.96704056413,8.999999356043784,1.7550981748092584
wd2136+229_2452535_57000287017,-55.03047683449923,2.352204229074591,10999.991497365634,8.029046468482909,3.021363727952345
wd0227+050_2452656_56228047982,18.17110727941461,2.5070090165484524,20000.00886649842,7.780410218635606,1.1773196258191219
wd0911-076_2451660_6227900302,41.765962990375726,6.092152109619782,11289.686945078498,8.999999971209736,3.407436118569534
he0418-5326_2451743_92084437981,45.904597863677346,15.06324968603112,8557.759313218867,8.999999999957428,3.2843403102304873
wd0129-205_2451741_85376862017,51.977553952524396,7.2941143586887875,17085.661100535006,8.08148485048822,2.899624948627503
hs1153+1416_2452657_79312126013,-31.854469706839517,15.256534384860858,12498.989804123403,8.97782532655928,8.174596785629278
hs1334+0701_2452387_75006322004,-34.94693481866809,6.0228683235186615,19461.803719596544,7.068910024512409,3.8255085694895934
wd1254+223_2452328_85464556981,4.211762001518896,11.52779406208029,39899.989017041895,7.904360795713137,0.6751667458168209
wd2354-151_2451803_58910012012,30.305120461453424,9.337990316956269,38060.598668345345,7.000000003191815,1.1495154437198936
wd1058-129_2451681_66547005996,47.441712014584596,24.489617736573436,20000.00905662115,8.258671857264911,2.144277317556408
wd1053-290_2451657_62991124997,10.824817700373822,2.336765155854537,11629.163674021056,7.978758291306331,2.7404996644953967
wd1150-153_2451657_68510452006,26.445659368894407,4.925013846126086,18219.894922171705,7.000000017153836,4.733253621300185
hs0200+2449_2452535_81015765993,60.19314832579972,7.19772666429181,9170.526467110729,8.99999156330095,2.11718594528526
hs1204+0159_2452328_8089949498,46.88145731267007,34.00554197123894,19999.996315195887,8.070645904860823,0.21344405212038564
