obsname,lte_rv,lte_e_rv,lte_teff,lte_logg,lte_redchi
wd2347-192_2451761_83474317985,69.56847038570379,18.99398563394704,9353.42420652062,8.999999967225806,0.5487073573775291
wd1105-048_2452387_68914591987,54.6674365254378,8.123530384089658,14499.994246960814,8.33545282605575,0.4876893382995868
wd1010+043_2452328_68820264982,71.90021905843858,42.235676753303146,21838.95319147786,8.972735499022436,0.1936553580321504
wd0108+143_2451739_81849025982,100.15128065042859,29.376740607369527,9238.823861092429,8.730332167573984,0.07227824552567752
he0308m2305_a_2451949_55592624005,90.53829671358544,24.874632718514604,21244.67127541449,8.964792900269062,0.21818948893898046
wd0151+017_2451740_84279057011,64.51868346477967,13.696684932402583,13765.844318457368,8.211418990777526,0.20889096816866481
he0333m2201_b_2451924_60029122001,65.14382918205837,173.6040539615113,15158.84574092329,8.248901833583435,0.0010843036558978714
wd1327-083_2452684_79086379986,43.73425524675529,4.346984289526034,14529.020630072402,8.102760958717045,1.4265232827237642
he2356-4513_2452466_86122904019,52.098381171480945,15.871583137342377,14866.79078289828,8.676367984528463,0.150401737274592
he0246m5449_a_2452537_78627328994,37.72539179095902,25.53826116488409,14499.965488920805,8.295430314654782,0.08078138089646002
wd1053-550_2452044_51426183013,33.65374992306015,11.430700922768052,14705.58376270033,8.144512815510451,0.20899291855498636
wd1332-229_2451684_63193289982,54.0107195478674,35.385216356290236,15520.110885754892,8.99716331337235,0.100444887895863
wd0858+160_2452663_71791923977,53.772499654286264,128.81308975411253,14454.201605809403,8.398181746752979,0.002504578431640736
wd2329-332_2451743_81536460994,72.56536492780339,40.1283900845867,15736.542466200306,8.999999831584532,0.0817831049781657
he0031m5525_b_2452260_53590983013,45.17213799152845,18.486127545508673,13278.85532139968,8.309659539659574,0.15232076840348663
wd1244-125_2451730_47054297011,47.99596062085278,10.30982216675218,13591.731080571488,8.15448889667354,0.22374055706447063
wd1614+136_2452117_52605928015,18.522060449799127,11.970531637552334,12499.991776461444,8.999468026176746,3.1035067565105003
he2140-1825_2452141_58351576002,20.73447776838896,11.601759895532755,13725.64831381973,8.079838618864429,0.13445060460005875
wd2007-219_2451738_70370772015,-7.568608661643241,6.782833738964751,10199.711332950628,8.776657857466061,0.33584549023790666
wd0628-020_2452637_78608774021,100.22136178811614,18.503388530818505,7036.138363220183,8.625241478762423,0.2985454427774434
hs0331+2240_2452538_76157112001,48.8508168756676,28.205828967210387,15465.810430686413,8.999981312156788,0.264445228207053
mct0033-3440_2452501_91262935987,59.721137834925344,22.816201840904593,15489.958887902238,8.435136359301923,0.06387463842860573
wd2058+181_2452465_78756223014,-52.8289631374871,15.771611544710332,14500.003469838466,8.55942354753838,0.14888925142724563
wd0512-417j_2452852_90811142977,185.40052626667654,120.1337717395021,39878.06989396262,8.999604975571529,0.12555448997297916
wd2139+115_2451701_86948795011,13.960287222767876,16.173562644786344,14499.994589489135,8.235805594409156,0.17285192889335418
wd1802+213_2452465_71159499977,62.23162509664129,27.77754198647776,14499.975060252553,8.476738796989633,0.07227450227964319
wd0732-427_2452033_49669842003,106.862962831662,15.645187446028004,14747.57453783261,8.150161075977884,0.30822446552542837
hs1641+1124_2452116_59871054022,53.166367072154586,16.996551458648323,13820.031784944977,8.266892434057187,0.12214185135317679
wd0408-041_2451802_89415575005,41.86130962588092,16.252610773953112,15517.589579872945,8.167203288426531,0.10002348874319235
he2238-0433_2452542_62510068994,-18.068346158653238,42.48511142399864,15379.595760070231,8.709211860799815,0.03392696847401754
he2159-1649_2451885_51961070998,36.26900947539423,24.860401319463996,14999.993910946145,8.992043035695733,0.10352712796892644
wd0032-175_2452542_77202865016,75.74765976717143,8.404761782987116,9703.462408745454,8.653494643090937,0.9926470741761573
wd0852+192_2452650_73136575986,6.435447605999753,23.149015471983983,14438.015769213465,8.15564497297265,0.04083036622234524
wd1524-749_2451755_58826284995,210.12960186210623,21.558327457767575,16027.043299097591,8.999991409146409,1.748009716283448
wd0317+196_2452538_73996212985,70.17744911573567,18.448790861074134,14868.542627989265,8.79243918677072,0.24463797721794595
he0336m0741_a_2452336_54952005018,80.9993156989485,24.530705915886394,14115.9303317274,7.9799872758435955,0.07953489676318501
he0417-3033_2452271_59909369005,31.992509357234095,36.21060488424223,15293.505520245575,8.998536368191324,0.06163999674748982
wd1420-244_2451684_64160980005,35.151503939943346,31.190229691230222,16282.242051008381,8.999935255343253,0.18403334274103367
wd2153-419_2451696_85267642001,67.5912345950595,91.38170782242511,39894.525814904584,8.996089594909714,0.12755229054532705
wd2149+021_2452540_65636085998,30.4594005793242,6.496413381544082,14999.982783186353,8.843702066591607,1.0480652143117468
wd0102-185_2452849_89854332013,46.71794134269255,34.16447338035133,15783.75503426776,8.999998045359991,0.2853276294727342
wd0916+064_2452033_57027467992,147.2216818381707,80.93989133090247,7133.764550884722,8.111551445910585,0.2158308598117403
wd1410+168_2452387_75606257003,11.590587307136182,27.372628086909877,15234.56783570823,8.99990586101301,0.21589333689255885
wd0032-317_2451803_65816758992,40.462838193484124,47.50548524097376,37890.31206738914,7.262763181684814,0.026186329169753924
wd1201-001_2451742_50651415996,65.3398695355977,19.024656903361553,15995.117347335741,8.99999984763929,0.21791468470714312
wd1015-216_2451655_67143213004,46.98224131613125,29.66634899517554,31447.057088253685,7.866806053704265,0.041198206032919016
wd2314+064_2452544_59623237979,38.39392904686983,19.014324776039306,14833.07006596302,8.999957237909511,0.1377502269913215
wd1314-067_2451948_87399196019,36.02409128905771,29.297947637697426,14492.612463498357,8.419351156360104,0.05089512743142549
wd0426+106_2452657_70099062985,72.26141628702396,10.02567531559125,10357.95911255181,8.274254988013865,0.11615638266084793
wd1130-125_2451683_54798222985,71.36380058245479,15.120595480152268,14545.21651622055,8.220642170561597,0.16036420622526681
wd1736+052_2451688_90314210998,49.750888647942745,15.575025280477057,9372.04053020061,8.96928194634458,0.0764131786431196
hs0047+1903_2452544_72967394022,42.90906340810236,16.127363703532637,14617.737422832999,8.641821006540006,0.11658986356361987
he0358-5127_2451740_90850433987,44.934108060972555,20.454029306993995,16261.066730443199,8.99999965965078,1.3957326168404738
wd2159-414_2451705_89291001996,6.871521619067948,84.69110075765644,39898.95247886585,8.999901448214775,0.30074720524756243
wd0227+050_2452536_84386330005,15.539885897599772,8.421201202095558,14999.999752516142,8.989639308287668,0.982065161430337
wd0336+040_2452853_91618959978,1.3002210087349986,10.973764769320237,9011.799865714689,8.446950142723743,0.11748653457736331
wd0108+143_2451743_84116083011,94.5824734304849,5.061916818895085,9282.992550143532,8.41377655850452,0.2017170368698297
hs1338+0807_2452080_59049252002,98.39985546329366,35.19075044824248,20734.00073629981,8.99999999899526,0.26899104623671205
wd0126+101_2451743_8516569999,-7.889179429614141,49.09853850770503,8876.612110924347,8.506256225700083,0.0035090872132950476
hs0931+0712_2452322_74372440018,7.937268667161219,75.9341994405102,33372.31526923907,8.082414282108383,0.04267257802074474
wd1544-377_2451739_6638469398,27.64068802938519,4.074044196111373,11186.511062990552,8.681131769523985,1.7078730808116998
hs0944+1913_2452695_57463276014,66.23589173697127,13.080214574029124,14825.005436350415,8.593455455577962,0.31742524534528543
wd0839+231_2452327_58986247005,6.621039723460022,17.32730666538,16292.793370127474,8.999705750712037,2.1933925627442754
ec12489m2750_a_2451738_55988057004,50.47919707721548,62.03095502347118,39899.99770033253,7.0000981051886075,0.39365541227439155
mct2352-1249_2451802_70753955981,468.37408934356654,180.92846330306534,22171.453351529693,7.001138139643906,0.20776841302370516
wd0016-258_2451803_62580467016,58.50088399436458,15.152256903372756,12399.453038179403,8.55947149895426,0.15091567291721744
hs1043+0258_2452663_81334961019,17.783837363438238,24.718338954220386,13816.608173262102,8.121117821560354,0.044488021082983116
wd0307+149_2452536_87629238004,20.456568441810617,31.302107612744145,15530.085276179989,8.999999290750857,0.24543513837834188
wd2122-467_2452531_55663532997,33.31797928136647,48.38398368121987,14934.822197931147,8.235731363259166,0.03943496404486255
he0344m1207_a_2451946_62303047022,-13.618391359284356,23.643552324958154,12786.614229382852,8.289881639388105,0.06684488018518861
he0032m2744_a_2452532_62505119015,36.492434982109174,30.823486382076254,16200.762952977577,8.999999842582682,0.5514180340410477
