obsname,lte_rv,lte_e_rv,lte_teff,lte_logg,lte_redchi
he0452-3429_2452331_63235505018,45.14274859732538,27.50175278988486,14437.04100209609,8.334961303247159,0.06369492162618852
wd1449+168_2452387_74056685017,64.2794184829094,22.605849998945022,21829.01366196059,8.033105393938618,0.22520607397766154
wd1105-048_2452656_76255166018,40.90868982342151,7.632816043896856,16291.687961342772,8.067545250158993,0.5905743095604493
he0336m0741_b_2452334_53820060007,78.9326662762187,31.103580188427614,14500.126648211515,8.457714901120564,0.054657344673354515
wd1356-233_2451703_57195201004,-28.448921821567605,11.074048587809582,9391.133709723163,8.999735985262358,0.6270885695267274
he2159-1649_2452141_61468505999,28.18730652167868,20.031883717817664,20806.777244560217,8.311419941279127,0.10995315887676466
wd1308-301_2451687_63803596003,61.17325054436262,11.390266879590367,14907.780921642012,8.302487351120096,0.28331190012960644
wd1426-276_2451730_66411045007,63.46026753350691,20.74412779108318,15822.542126334907,8.988004925021022,0.2914091700668703
he0152m5009_b_2452544_8463193099,47.28308150003497,17.11751140102912,13881.238486826043,8.087972426052486,0.11553390835251383
hs0145+1737_2452547_71313286992,18.341332222016472,20.195389862611492,15499.961829638482,8.999961939193831,0.18842112237485364
wd2127-221j_2451739_67165067978,34.64803668852937,42.34260364053722,39899.79634743496,7.004889088901067,0.35498966803852205
wd2359-324_2451742_79833822977,99.19772003619275,58.45785987990506,22250.60086207222,8.199112066134816,0.06197955479886813
wd0659-063_2451885_81998834014,5.8160289894152655,42.33951062582875,21906.252262921716,7.000016882075582,4.427824635742904
wd0511+079_2451802_82766648009,-1.7387443384803534,38.518979403343025,37853.69304571677,7.000184635507576,0.27689993144408825
wd0928-713_2452258_76543253008,64.7300235680503,8.116802113978562,8426.103591484756,7.565803830124573,1.0232768700429975
wd0810-728_2452008_57348239981,57.56356862662975,184.81339587101365,31144.96213267354,7.732101698580279,0.0024579095460217923
hs0931+0712_2452322_74372440018,30.82704146127872,84.73998413404153,36896.567020831164,7.306260049203655,0.04037104958656835
hs1102+0934_2452336_78912399011,65.28353821096495,40.43798719682156,15284.860245584261,8.999999981826553,0.08754853943029269
wd0928-713_2452044_5014168499,73.85911212790012,10.189124963052084,8466.130958237442,8.999896991385487,0.4767431763334429
wd0955+247_2452260_84720443003,46.3185802854544,9.613787704882245,22204.889980395372,7.001138987623072,1.8130456536225736
wd2240-045_2451696_89338514023,-147.2862862241307,59.876049206057665,21958.609796942488,7.0000031385341215,2.3891082457119355
wd0242-174_2452272_62741978001,110.04160338386924,20.897565129025317,30867.529121670763,8.947261823327857,0.33229934383921217
wd2004-605_2451743_70734171011,15.498200679126032,40.93960073308335,21816.870152379368,7.000125426906413,5.3882046106168735
wd2309+105_2451762_65197480004,-155.14099008601136,31.01424272280964,21682.809586454514,7.0013270787862165,17.66682259789325
he1511-0448_2451701_73397581978,-99.87054836981213,55.4488489042891,21718.006235355537,7.0000074350625985,6.681954298870916
wd1326-236_2451742_52612124989,1.6879217405681466,20.438235803670693,14297.844950656352,8.197443980937557,0.05962770350483542
he0222m2630_b_2451949_57740871981,64.89065932527157,41.88209630587766,21713.391384752493,7.738918082807656,0.7750979583045265
wd1116+026_2452663_83276775992,43.25026916665712,15.753777824049315,14407.546401012532,8.298848745628444,0.20049854187368035
wd1426-276_2451731_61013521999,75.25437166121576,18.158580866208492,15897.871692878643,8.999844285263398,0.3989618152839948
wd2254+126_2451705_91330550984,17.601741218155702,22.15910467954933,14361.733082165316,8.420880483886798,0.1052700141803671
wd0621-376_2451801_87479609018,-1.8895737834880857,16.456837840335808,21839.554459113682,7.000451352424442,70.42401130144175
wd1310-305_2452658_74351307005,33.986935486671946,18.01634878980972,21447.656807638312,8.267394166451016,0.1582954358904016
he0049m0940_b_2452544_76902421983,20.582782337123707,11.681529870388388,14058.46789824748,8.05629683255989,0.24186632616988166
hs1616+0247_2452542_49993368005,-1.909033025783012,25.971307185929263,16242.432791619305,8.999941149786956,0.11097051015063931
wd1056-384_2452069_5251466902,34.29827380146763,13.148590729816052,21900.684755206566,7.000300882027694,0.9332261881036964
