obsname,lte_rv,lte_e_rv,lte_teff,lte_logg,lte_redchi
wd2007-219_2451761_77842749981,-14.350095318523854,4.5940984902851,11044.385117226171,8.479571011974734,1.5071480171102305
wd0330-009_2452538_68863344984,19.462956261771424,31.732739050572782,34701.00160031792,7.8115217246663216,0.03064688606542962
wd0032-175_2452542_77202865016,49.200844434661285,5.369212485885004,10223.407037260993,8.516931791466641,1.3579345536672418
he0222m2630_a_2452465_8912900798,97.30988114528945,9.745705126978741,16149.938482387892,8.999983999496505,0.7952553067239708
he0418-1021_2452270_68224663008,89.58679818799929,11.781640989893788,21181.655007488156,8.799836175793324,0.30186083122796675
he2334-1355_2452544_69300642982,24.52431922665368,11.218188125655983,30653.317414254736,8.082855511839298,0.26156327373143967
wd1431+153_2452142_49855868984,19.404727560910324,9.821618404191247,14312.285271032024,8.001581871647192,0.1037418593961862
wd0830-535_2452770_48086326988,44.343988505030346,9.590982724981245,21683.257560923612,8.999964155518134,1.9697589306377667
he0456-2347_2452315_54481279012,64.40475707255142,15.311785602568214,21221.431219521222,8.575854157159485,0.1920619290410214
hs1053+0844_2452327_71914129006,32.94339463598996,15.03181451269338,14824.568293820897,8.192314480492513,0.12772540366014715
hs1432+1441_2452142_51096192002,79.45513327625953,13.30866804838923,15456.2543166103,8.10545180658324,0.10935184324413551
wd0108+143_2451739_81849025982,86.90199617308559,14.850336836404658,9023.703856793294,8.412048718542566,0.274933048221282
he2135-4055_2452772_90591670014,63.04391716940878,10.947135240497065,15523.70837964035,8.743117996597721,0.18028067340771758
wd1310-305_2452658_74351307005,33.832275305339145,10.32552663612739,15972.449215078963,8.841685457410838,0.3302685198337768
he1012-0049_2451655_62022953993,33.47541574607214,10.737468549867714,21615.231183452688,8.593775897029456,0.262255031696939
he0219m4049_a_2452139_90640365984,41.24043354444401,12.828223300362449,15418.280663961188,8.099939922073464,0.16146073339003156
he0403-4129_2451740_91876453999,47.15456027179534,14.993809349896633,21613.871597440175,8.252665238953615,0.15018282097100552
wd2139+115_2451704_92893787986,22.22615646969076,11.44033223219686,15547.046375751124,8.070266253137293,0.21262106826810384
wd0937-103_2452327_67787786014,73.85968333157311,11.526915937385809,17000.269762648346,8.806832282330767,0.16205596507528247
wd1145+187_2452322_81941322004,53.14185114423353,12.029241467063112,21600.17498510166,8.83073848477527,0.4809983955340645
wd0431+126_2452658_66084294999,65.59172200077809,10.701650353404656,16253.378341672822,8.999991282095749,0.3419906180234529
wd1017+125_2451939_83874425991,18.97974208172988,12.612913347895955,15880.130502404307,8.99792644573449,0.24130076019732544
he0106m3253_b_2452146_86455501011,52.10771256551757,10.28832205803711,17314.71618496096,8.499963802187574,0.3301826561659334
hs0345+1324_2452539_81567174988,37.82167162519419,19.445452316662703,21546.55527153287,8.900776141851088,0.09515169547261548
wd0151+017_2451737_86659546988,67.62287934465031,7.2217334430122335,13828.717668830985,8.012253617027536,0.42647056804932404
wd0011+000_2451742_81841306016,36.85287705394169,9.077825776640747,10074.492703508848,8.413871599220785,0.5653416848716276
hs1527+0614_2452116_49296342023,73.16132231591358,8.366233947645135,14451.912533000026,8.011921297561477,0.20550094322116622
mct0105-1634_2452883_67739923997,23.0073793750802,21.317202380684066,21796.896035955142,8.839378249422632,0.2600316180079918
hs0130+0156_2452143_87092421995,14.53798574472793,46.04818066560273,39899.9735977006,7.870103245778408,0.045137971165427865
wd0710+216_2452322_68028391013,38.531547242563306,7.1143033753006275,11858.677938925159,8.28803501565084,0.4967726099632548
wd1959+059_2451705_86138598016,-16.576529434984316,9.845515162900405,12783.926236492429,8.269169617325744,0.1658335482461072
hs0503+0154_2452258_82586898981,95.78824199047837,68.8514374614909,39899.88271830737,7.76171384211563,0.2999475722841195
he0204m3821_b_2452527_86253076978,44.01238258948418,9.412559596439007,14500.043306732512,8.019806055606567,0.11070449167194406
hs1136+0326_2452657_77417741995,12.115001196148178,15.036209824658343,14080.58014754684,7.971497658038753,0.305297597446212
wd0612+177_2452324_60070622992,52.86015347019625,4.994332528299459,21721.18558546052,8.64442534139168,1.7056075368953463
wd0642-285_2452007_55232458003,48.6840456809547,11.045837226859565,10029.634042201546,8.343165564467025,0.3472502589707848
wd1532+033_2452116_50316091022,58.249624625786076,44.00312699633164,39899.09559155493,8.999579073929015,0.5648115442309477
wd0425+168_2452650_68625603011,255.30422293782274,9.81403896534755,18214.067896933797,8.999232254737935,5.369180157714855
hs2046+0044_2452521_6322171702,23.851585561359876,18.504985887084636,21676.99463169552,8.79754124342995,0.22820980493000764
hs0325+2142_2452538_75083576003,100.85011998394577,9.68509802621935,14194.148625466554,8.153364833602248,0.29240605846276424
wd2032+188_2452521_54377917014,-20.896090174081987,8.645995833841432,14941.156104955504,8.505581810364838,0.38873796090165347
wd1544-377_2452771_77995079989,22.194390612510173,3.4845139714998847,12499.9954055767,8.408431822164752,1.51581694371888
he1340-0530_2451741_56480597984,79.47414725031787,38.85894764038687,21946.592683086594,7.00135141295513,0.38592495455691433
hs0400+1451_2452538_77926032012,86.25016325486294,6.8594819217717955,15553.364603652102,8.300744821552124,0.4245006211625855
wd1547+015_2452116_51296659,-180.80038900982726,60.47880823770166,39899.95866506527,8.999971861617684,0.8345861155597991
wd1448+077_2452078_53327033017,-96.31447165621063,12.297773277039177,14773.121258139008,7.9455345315671035,0.0799906490021275
wd1229-012_2451686_55282730004,22.673044977112106,7.557457822168844,15027.43544233711,8.780563068759234,0.6907102623087353
ec12489m2750_b_2451741_49392732,73.203886823099,42.017500862246806,39891.673823307,8.995529277889574,0.3977526589854051
he1328-0535_2451738_59161739983,82.56628584485753,42.76107166730209,39054.78631464451,8.032128700973045,0.13623755869690174
wd0810-728_2452033_52685008012,54.38214361035432,24.90066976646702,31013.063731598275,7.778205414814808,0.11722057910702191
wd0858+160_2452689_59538258985,75.3990039034145,12.188335961857248,14513.194475629956,8.1995810964486,0.13577105402354497
wd2353+026_2452530_67478145985,33.501750760754454,38.459068426484045,39899.95983987391,8.999991212861184,0.5794660684664736
wd1500-170_2451706_57077173004,9.91216325744066,12.827555614504828,33080.8501653553,7.843214355833696,0.45730160976735673
he1441-0047_2451741_55454825005,22.3615390953106,2.181666102124657,11256.11052073916,8.70457753472624,0.5238242233475627
wd1403-077_2451947_71868669987,31.657244915150834,68.61087843164313,39899.85657144704,8.007284678794171,0.08305494221326704
wd0839+231_2452322_71464102017,6.528095242709636,10.138278228908156,21561.03024788962,8.627168943801507,0.4591937785215687
he2159-1649_2452141_61468505999,36.642322720459426,10.782818398189212,16358.334724158012,8.627600868766342,0.2456444451681088
wd1342-237_2451739_52773735998,53.79832336013641,10.397511216135804,13330.826877064543,8.302132014248533,0.19968331316499388
