obsname,lte_rv,lte_e_rv,lte_teff,lte_logg,lte_redchi
wd0330-009_2452655_59343631007,-36.1422319405353,24.325809991058243,33673.11459203036,8.139693517477795,0.199769259135459
wd2039-682_2452414_91184830014,57.86709632764403,5.4805587437286825,16886.039590213622,8.58279544784167,0.7242399207240723
hs2210+2323_2452541_61574917007,-10.504614006048612,12.01429620371853,15649.25508993269,8.9999746085316,0.7331847479209168
he0256m1802_a_2452537_81860690983,25.00302449288407,19.15260126045112,21630.222203561967,8.667680477047451,0.0844859814062928
hs1614+1136_2452839_65189317986,-18.432858269921393,13.911486035464737,14270.544385866406,8.399693781851143,0.29190152204353803
wd1218-198_2451684_60058498988,-6.838342908669197,29.31474201630906,36510.79258081853,7.793661312230118,0.04829901249984963
wd1310-305_2452659_76231390005,33.6697912555108,9.41970267336587,19540.065428898615,8.241065398681473,0.1445154355258776
wd1422+095_2451739_56652603019,11.685400572501592,9.265830889819206,13838.461883075113,7.960775497083299,0.15559157541488836
he0418-1021_2452270_68224663008,89.49548497147053,12.311777220447453,19874.13173653956,8.963969140285311,0.3077337821438288
hs0400+1451_2452538_77926032012,83.66638142085633,7.110502495139706,17024.802911140494,8.075494172365875,0.48802603559282337
wd2235+082_2452153_56869036006,-14.47890556724987,25.321914973044542,35627.18087959317,8.311097623277265,0.1436272868434964
wd2207+142_2451690_91020441009,11.983873273314167,71.7758036105952,21955.200912603563,8.958727139826246,0.041018801736410794
mct0110-1617_2451761_91894986993,72.39934336344541,36.73604831048422,35187.81606497578,8.28112425405562,0.0440215071101945
hs0241+1411_2452537_87135493988,19.03209869213755,15.294591357460728,15161.999492177638,7.689371928672155,0.08425180652037201
wd2204+071_2451704_91867621988,51.5925798456657,13.473702328967384,21029.173515777933,8.653658614998877,0.15698219830621027
wd0151+017_2451737_86659546988,66.83635350385609,7.495912255649181,13854.169589847426,7.895820084585642,0.4670399535734618
wd0050-332_2452482_78101417981,41.13189450735498,9.616551091310713,21818.63990818007,8.99996384796101,10.651408710380863
wd1615-154_2451703_59109462006,10.026197744022596,6.819323220657671,29991.86288950679,8.249325471285866,0.2269808820551776
