SOURCE_ID,radial_velocity,teff_gspphot,logg_gspphot,NAMES
3834721387994870784,,,,WD0956+020
3883615188318129536,,,,WD1017+125
3888723386196630784,,,,WD1015+161
3904415787947492096,,,,SDSSJ122859.93+104032.9
3931446491043126784,,,,WD1249+160
3944400490365194368,,,,GD153
3953720569396712320,,,,PG1220+234
3963587822967516032,,,,SDSS J111215.82+111745.0
3966519331420622080,,,,WD1129+155
3974868644764927744,,,,WD1145+187
4012093916593061120,,,,PG1224+309
4014289538234943360,,,,PG1202+309
4019392852735219840,,,,WD1133+293
4021565827014024576,,,,PG1143+321
4287654959563143168,,,,WD1929+011
4319908862597055232,,,,WD1919+145
4330093466990008448,,,,WD1614-128
4347700805681797120,,,,WD1555-089
4400264883189120256,,,,WD1533-057
4403768373911022080,,,,WD1531-022
4415725940820061824,,,,HE1518-0020
4426435871273922560,,,,WD1547+057
4437271867601913472,,,,WD1609+044
4460086458999242368,,,,WD1619+123
4465105351622152704,,,,WD1614+160
4551645369227445888,,,,WD1755+194
4640735699748793088,58.194176,6018.0747,4.2948,TYC 9151-303-1
4653404070862114176,,,,WD0420-731
4716787274071022848,,,,WD0114-605
4779427928974390272,,,,HE0418-5326
4828757999190736128,,,,HE0358-5127
4841115341656167552,,,,HE0414-4039
4842194473663089920,,,,HE0403-4129
4873054711334208256,,,,HE0452-3444
4921090656364298368,,,,WD0048-544
4922382445088509312,,,,WD0047-524
4962193390308361728,,,,WD0140-392
4978793541987799040,,,,WD0028-474
5014009353235167744,,,,WD0106-358
5026963661794939520,,,,WD0106-328
5037128131397095168,,,,WD0124-257
5075443981321647744,,,,HE0308-2305
5132580858972702976,,,,WD0242-174
5159714332045197568,,,,HE0305-1145
5165151485764431360,,3566.994,4.6489,BPM71214
5536077746353130240,,,,WD0732-427
5639391810273308416,,,,WD0839-327
5792402116129561984,,,,WD1524-749
6009537829925128064,,,,WD1544-377
6182345731690327808,,,,WD1310-305
6182607385393358848,,,,WD1308-301
6278550873112595968,,,,WD1434-223
6304590503913422464,,,,WD1412-109
6332172027974304512,,,,WD1457-086
6348672845649310464,,,,WD2105-820
6422236358302245248,,,,WD1953-715
6424566979354709248,,,,WD2039-682
6446197877766956800,,,,WD1914-598
6499376994593401344,,,,WD2321-549
6524412152806190336,,,,HE2345-4810
6621374578563035776,,,,HE2231-2647
6621832284637642240,,,,HE2218-2706
6749414082009147520,-67.696465,5731.746,4.2427,TYC 6917-654-1
6808699474099687808,,,,WD2046-220
6828157565735439232,,,,WD2124-224
6849796229451135104,,,,WD2018-233
6876934409805839872,,,,WD2021-128
