,NAMES,SOURCE_ID,teff,logg,RV,e_RV
46,HS1243+0132,3702195464793095936,14438.595885779185,8.23485774494535,38.60786138712754,4.900679191150751
47,HS1334+0701,3718352444565698432,12447.547717121388,7.24131281243354,-37.66219874659488,3.986223924675741
48,HS1334+0701,3718352444565698432,13873.082306859493,8.247939198519468,-50.736352759939,3.1218071332862607
49,HS2056+0721,1737897841326227072,23082.55172512537,8.878402415487866,37.96215953462207,3.1539683365681626
50,HS2056+0721,1737897841326227072,22392.513864214467,8.74633410739466,33.33108380069927,2.781643261004028
51,WD2132+096,1742342784582615936,12499.9894830298,7.02338145020222,-2.228333721316503,2.216091172919074
52,WD2132+096,1742342784582615936,12448.1501890874,7.144039532392638,-5.291230075456659,2.1588758099223786
53,HS2210+2323,1879147564661258240,16347.152625344965,8.534662943906932,37.93510199579256,3.3024574849308443
54,HS2210+2323,1879147564661258240,20205.507927317107,8.267482285133276,48.63742011605463,3.182792652501309
56,HS2225+2158,1874832084599745920,16359.328992120149,8.763553842782196,20.658959716882237,3.1618565718306826
57,HS2229+2335,1875647956587976576,14541.00462716398,8.18343626510565,-15.909285053371002,3.4711076405140657
58,HS2229+2335,1875647956587976576,14000.000593345152,7.809925022343103,-12.173555955169473,2.963958472428075
59,HS2244+2103,2836176779127265792,15295.25044245438,8.87693803353378,27.166262668279984,14.25187267475689
60,HS2244+2103,2836176779127265792,14481.016042620397,8.395780200179422,23.91320338974712,3.598053271647874
61,WD0013-241,2336189396997071616,13927.91268958485,7.961831419739187,18.289287202686506,2.482079588774135
62,WD0013-241,2336189396997071616,13999.98156001902,7.859877089646367,11.944812508686864,2.379574508109135
63,WD0018-339,2315346161227820032,13999.991333151354,7.961533512217207,35.91826148236552,2.028587794788759
64,WD0018-339,2315346161227820032,14035.970175097838,8.007211608613954,27.937815354790622,2.344413752794079
65,WD0047-524,4922382445088509312,13626.1759772575,7.499961787977653,23.915326857355527,1.569251565655616
66,WD0047-524,4922382445088509312,13393.279323433057,7.49996095920461,27.141985203981974,1.658693564963226
68,WD0048-544,4921090656364298368,14061.34260177292,7.99999986517167,27.760571645751074,1.950293725496854
69,WD0052-147,2372473658671416960,21911.021205795947,8.564360305481333,51.60353989497392,2.3300897400671268
70,WD0052-147,2372473658671416960,21817.644228648223,8.698049617638128,54.49253399406312,2.253482056598358
73,WD0114-605,4716787274071022848,14892.01928746126,8.8761786374625,55.29585497139231,3.209949556447871
74,WD0114-605,4716787274071022848,14704.572548276326,8.684436623045446,53.916602493465646,3.1716774360778146
76,WD0124-257,5037128131397095168,14499.994633316608,8.017764393740059,19.252981301309024,5.00004930719945
77,WD0140-392,4962193390308361728,14427.518827028429,8.309684109124381,54.19464136574053,1.8661169848609696
78,WD0140-392,4962193390308361728,14391.88979708638,8.291119344953096,57.07638790625402,1.9337884883880392
80,WD0155+069,2567944320460595840,14334.493775877296,8.309048421628388,6.225353420124974,4.0162157288722105
82,WD0231-054,2488960249844340352,26197.14040995982,7.697979699452452,87.21635144984997,2.1946215230701043
83,WD0231-054,2488960249844340352,26174.96365944857,7.755373660798313,77.48266388648774,2.1379269967374768
84,WD0231-054,2488960249844340352,15571.130266868917,8.925755461739413,82.30357665470478,2.4795715804647287
85,WD0242-174,5132580858972702976,14204.75565199927,8.025731987029229,28.551234238350133,4.004446336816894
86,WD0307+149,31047257726638592,14349.330416801871,8.196784017614549,6.409998728585924,1.8427244542250525
87,WD0307+149,31047257726638592,14637.237130293626,8.643338705377342,-9.787227015422388,4.161309948113166
88,WD0308+188,59077760488621184,13999.995556123426,7.823178774931963,37.125153113283424,2.1221294255014627
89,WD0308+188,59077760488621184,14000.004011663204,7.821210430710511,32.96697834063767,2.236704668066293
90,WD0341+021,3270918350990573184,14000.016977444886,8.062726378501509,-57.06623745638087,4.305288918406539
92,WD0352+018,3258317294901181440,14672.363321502622,8.616430490608344,93.32145528504844,3.253449063197003
93,WD0352+018,3258317294901181440,13873.351480740266,8.033010186803118,75.76366862918567,4.330225357633232
94,WD0421+162,3313606340183243136,14729.162631002002,8.35461965008891,71.17170687648499,2.7958076129256497
95,WD0421+162,3313606340183243136,14195.25943551329,8.045526929795669,75.4882500659699,1.8480732177875008
96,WD0431+126,3306722607119077120,14713.079520498784,8.585598262739323,73.9322923613822,2.659973768832124
97,WD0431+126,3306722607119077120,14390.277594612004,8.364250912551368,70.61071070807601,2.323099309983185
98,GD71,3348071631670500736,28420.25309178558,8.849007148533095,24.17699333748185,2.2468282753470223
99,GD71,3348071631670500736,28711.62097615782,8.908306967486357,25.154232401898245,2.604165468546535
100,GD71,3348071631670500736,28097.70746532273,8.958014264920331,23.87471096313645,2.112644619704316
101,WD0556+172,3350123251647482624,14499.999306274914,8.121485492453857,84.33299439455963,3.004936163862105
103,WD0732-427,5536077746353130240,14000.000685224755,7.847870372388394,89.77143595967628,1.8056828809735208
104,WD0732-427,5536077746353130240,14000.000677474109,7.92765843781629,84.91453156594733,2.6972784353785286
105,WD0839+231,665392383790872192,14885.158266230545,8.821151213992916,-2.9339630441306355,2.551732295197831
106,WD0839+231,665392383790872192,14927.729329460244,8.97865693592419,-6.8085545939819285,2.3899871565754127
107,WD0956+020,3834721387994870784,14000.002260150315,7.7365154770262095,67.29707146773312,3.274071539482001
108,WD0956+020,3834721387994870784,13167.053764979592,7.499961631504668,59.7226819873989,2.832511055692798
109,WD1015+161,3888723386196630784,15863.038884037223,8.468517073628256,58.29844010502388,3.490441441424661
110,WD1015+161,3888723386196630784,15410.9199280582,8.127654692352403,68.19031732013208,2.3486301623345653
111,WD1017+125,3883615188318129536,13999.999965881812,8.040189890820745,2.367812395679834,3.206555730058449
112,WD1017+125,3883615188318129536,14236.744186903914,8.194137876067547,13.995620532378863,3.0030159431281644
113,WD1049-158,3557394009663078912,14789.248772044377,8.236976230169784,66.67422620485817,2.2422915966825485
114,WD1049-158,3557394009663078912,14824.977937926682,8.392794889059887,71.1599383073548,2.2879319141683894
116,WD1058-129,3564376149017654272,24449.147257203294,8.758717603993468,78.71467331490898,3.119768756870677
118,WD1058-129,3564376149017654272,21737.8457337188,8.913418230167766,66.46513557318849,3.32050464215083
119,WD1058-129,3564376149017654272,21215.277408042653,8.715878432382183,63.138880516753,4.475691781060945
120,GD133,3810933247769901696,14805.723723344829,7.239577511773514,48.06563444318749,2.6404186550989195
121,GD133,3810933247769901696,14188.40324821232,8.226735376954633,40.82636419569548,2.23549556379108
122,WD1145+187,3974868644764927744,15336.335878280444,8.701064910453406,39.26789623048946,2.993707752731403
124,WD1202-232,3489719481290397696,8742.673961861201,8.125252509015114,21.860702063936067,0.3259024915991535
125,WD1202-232,3489719481290397696,8661.255864781895,8.055945367123378,24.22262130602425,0.4357146167667078
127,WD1230-308,3470463802872604032,24999.980340650876,8.520088676849788,44.18884668596161,3.5565535760162703
129,WD1233-164,3523347735187987072,22767.62661493485,8.181802378599416,57.4823053773969,2.2296369608183757
130,WD1233-164,3523347735187987072,20964.1476847199,8.398581298265368,52.98907510931328,2.8833779231072008
131,WD1249+160,3931446491043126784,14359.936053948051,8.424060706395268,7.515150534765259,2.548502983272789
132,WD1249+160,3931446491043126784,14287.836853521623,8.274509025280727,6.262576639309272,2.1565147359465606
135,WD1308-301,6182607385393358848,13970.197949023968,7.583846981634508,64.38999077934128,1.660800793719659
136,WD1308-301,6182607385393358848,13897.946400377425,7.499961327506592,64.18905590012336,1.89542639180446
138,WD1310-305,6182345731690327808,13999.991350226146,8.056544978405949,31.329622863774027,2.3654066458777105
139,WD1310-305,6182345731690327808,14000.000576029017,8.01270416443872,29.23266346958251,2.6094263002675646
140,WD1314-153,3607725941130742528,13243.070190843617,7.499961527897596,105.57747622935344,2.404143359382786
141,WD1314-153,3607725941130742528,13999.949308093146,7.566567158383034,102.20084449463162,3.218168301455769
142,WD1314-153,3607725941130742528,13260.803402993584,7.499925571922033,99.81740689847116,3.016888811986391
146,WD1434-223,6278550873112595968,28013.31920511409,7.707525397485076,-74.95310523050293,8.016273211596143
148,WD1451+006,3651184550535258496,19431.00932250534,8.349219923462332,-1.9385026487344128,2.4033522613005034
149,WD1451+006,3651184550535258496,19103.1681559906,8.79399893195665,-0.2530075711938737,2.114284744986992
150,WD1524-749,5792402116129561984,14438.311685096254,8.238884546946762,198.7185784314907,3.25410023808314
152,WD1524-749,5792402116129561984,17450.15775224073,7.777362741509249,202.23705360503396,2.8195658572605
153,WD1544-377,6009537829925128064,13749.07978229714,8.48779430098981,19.58381085460616,0.7351146274798399
154,WD1544-377,6009537829925128064,13716.379337461573,8.686912207392847,17.523822576357517,1.0110544023641488
156,WD1547+057,4426435871273922560,16999.78725269824,8.956391092180361,34.79400612694405,4.395368459490513
158,WD1548+149,1192764133804981376,13999.975239857751,8.019143939955663,18.471410210848084,2.821171389161303
159,WD1550+183,1202826348825240832,13999.994327074934,7.67491575780053,10.069913792421133,5.078572343628154
160,WD1550+183,1202826348825240832,13976.132355615588,7.793842556083052,11.341229871120406,2.7114036199295715
161,WD1555-089,4347700805681797120,13390.490121039678,7.499961617012127,65.88379034241895,2.404653163912414
162,WD1555-089,4347700805681797120,12892.136650304968,7.088549656528922,82.68640013904471,4.891510969671202
165,WD1614-128,4330093466990008448,13953.424574345065,7.965307996001053,86.49884006992238,11.618978895423004
166,WD1614-128,4330093466990008448,13453.32862683987,7.499920159794852,82.37690326262813,2.3324156917167684
167,WD1614+160,4465105351622152704,13999.999598494658,7.709347064054151,-22.555180125305174,2.2941809278355443
168,WD1614+160,4465105351622152704,14000.000598576378,7.784243242529581,-21.67892276609376,3.050446723596949
169,WD1619+123,4460086458999242368,14000.000988035488,7.827536364440166,9.871843942157314,2.7438514578934736
170,WD1619+123,4460086458999242368,13862.553997000328,7.499958886098864,7.962333385988376,3.162828580292964
171,WD1755+194,4551645369227445888,13913.32438237021,7.926935853672355,42.95002688299807,2.7901126598068124
172,WD1755+194,4551645369227445888,19353.31337091616,8.49996096230703,-78.97227304730184,5.090034802159238
173,WD1755+194,4551645369227445888,14413.49264733209,8.494087409989799,41.31705594469862,3.435366937457694
174,WD1914-598,6446197877766956800,14339.417423293238,7.99996079041827,59.70438765054978,2.6952007622690424
175,WD1914-598,6446197877766956800,14227.181136204868,7.999999840190549,63.93461226900742,2.733658988817126
176,WD1919+145,4319908862597055232,13999.999576521072,7.748535036394676,42.66864194207144,1.1223774658145338
177,WD1919+145,4319908862597055232,14000.000064297665,7.871277880672155,45.25086426771856,1.1457446023547213
178,WD1943+163,1820678800528443776,15652.286454671592,8.000068055882437,20.56714492070145,5.494792423517545
179,WD1943+163,1820678800528443776,14000.00121788946,8.023994073698479,29.05889574930009,1.5910838362991502
182,WD2018-233,6849796229451135104,13927.618614782556,7.909853616382369,-7.269905939861672,3.167595198197953
183,WD2018-233,6849796229451135104,13455.257483000629,7.499961372996616,3.434222748686263,2.519716019914753
184,WD2021-128,6876934409805839872,14142.852243226984,8.01254671159739,39.09779808399681,4.5757010134129175
185,WD2021-128,6876934409805839872,13958.356041536286,7.999988004170709,39.38322496305761,4.065136144040849
187,WD2032+188,1815657193425348096,13100.27523598708,7.499959454954852,-25.86783501029981,2.153556254963348
188,WD2032+188,1815657193425348096,13999.999346067694,7.833772432236331,-25.361094053983525,4.145160073425654
189,WD2039-682,6424566979354709248,22023.5797613658,8.406591726507669,53.5342656703163,1.3725810182500702
190,WD2039-682,6424566979354709248,21451.11549707732,8.448106317685554,52.40261905859036,1.4430701489467666
191,WD2046-220,6808699474099687808,14601.106145583972,8.604444014073191,-22.037335460538984,2.376586480657327
192,WD2046-220,6808699474099687808,14500.022129547237,8.592485557716959,-18.555441534645222,2.229162653166865
193,WD2051+095,1750545141328217984,13896.873960372825,7.499963345136894,11.805123893291288,2.9936850201406644
194,WD2051+095,1750545141328217984,13613.686852768433,7.499959297336424,9.425673575780095,2.3161929012413465
195,WD2058+181,1765090584946772736,13219.928491211156,7.499960371494876,-48.11767895398348,2.499956268569562
197,WD2058+181,1765090584946772736,13173.23627405368,7.499959839521318,-48.54654257511963,2.971566634482386
200,WD2134+218,1793946026371051648,13999.995308682068,7.793058954687572,27.8284540284647,1.8577183209955892
201,WD2134+218,1793946026371051648,13777.762527275809,7.499960525792688,26.597062427690396,5.085443384737491
202,WD2205-139,2612155476855186176,17000.99617959614,8.916735559113302,39.91597578421246,6.711830861213382
203,WD2205-139,2612155476855186176,21086.9481005563,8.60785770874139,48.720865785210144,2.049638067307285
207,WD2306+124,2811882073278282496,14396.985026500332,8.396148890247868,33.071436348417784,3.8170766185023455
208,WD2306+124,2811882073278282496,13285.328933841898,7.499960528297267,42.08930030981167,2.753313334569331
210,WD2321-549,6499376994593401344,39004.94956258832,8.971310956066821,21.24078118524678,7.016489312655136
211,WD2322-181,2393546245693497728,14390.26045795568,8.378696393340862,14.05408233501765,2.3989718708607093
212,WD2322-181,2393546245693497728,14247.439297625344,8.134449168939145,19.332464019586645,3.4253147547362843
213,G29-38,2660358032257156736,14180.722988319734,8.577240163902474,38.73434754568798,1.0992037156063468
214,G29-38,2660358032257156736,14246.657663242662,8.61590837992368,32.520370242298064,1.1173074105961422
215,WD2350-248,2338275136195124864,27847.79787062253,8.766380741956542,55.43957279619816,3.8698069623121514
216,WD2350-248,2338275136195124864,27709.57477196823,8.784537414037,47.36567359608093,4.582191720108739
217,WD2359-324,2313582750735435776,14267.137705522417,8.508031931608903,80.42913256991254,4.3805748345430615
218,WD2359-324,2313582750735435776,13999.969863752436,8.062599145141665,72.59349686200117,6.068420143463115
219,WD2359-324,2313582750735435776,14503.859270356568,8.642608099593996,73.15755957207348,3.821739606648862
